Crank position,Motor Frequency (Hz),No Bond Peak-Peak Median (mm),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Median (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Median (Hz),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Median (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
B,31,103.75,103.73115577889448,1.6499033246408348,92.24000000000001,93.11223350253807,2.3501687056886738,0.781249999999982,0.7773951438887022,0.059110788266325064,0.781249999999982,0.769743594681149,0.032005782874341825,2.457857142857151,2.4746494671327914,0.07245120613888577
B,32,148.75,148.59924623115577,3.753266178240037,105.94999999999999,105.53823232323232,7.336555257908915,0.7938508064516183,0.7991316099201096,0.04030865485940039,0.8064516129032199,0.8004945995319283,0.06277686722641068,2.6311111111109557,2.5937678395646406,0.13383111434306588
B,33,96.25,96.50883838383838,1.8000240168001296,78.52,78.10525252525252,2.6643273618752703,0.8333333333333017,0.8129631527150373,0.08395024892010303,0.8333333333333017,0.827831015499994,0.0556117287999633,2.2965517241379687,3.0462372531034014,6.679764547519886
B,34,111.25,111.19346733668341,2.320910117915571,88.5,88.98065989847716,3.358401750448311,0.8333333333333413,0.85409980706961,0.060125816248178476,0.8333333333333413,0.8436157050445597,0.03815199300603717,2.076774193548415,1.7176514533590992,0.4641004918748125
C,15,51.25,50.94065656565657,1.2747353953486358,42.379999999999995,42.81595959595959,1.092266231832637,0.373134328358208,0.37602032229327337,0.03433585952528653,0.373134328358208,0.3752860587517228,0.02704382711888604,7.188571428571229,7.192909388846429,0.31633437836132233
C,16,51.25,50.77020202020202,1.0417531882233733,53.6,54.202222222222225,1.2030498937339682,0.3968253968253997,0.4001256080389146,0.0386116394704418,0.3968253968253997,0.3993399577572965,0.032010913137322954,6.65999999999985,6.56697368983958,0.28511107269019226
C,17,46.25,45.99116161616162,1.1141613422616439,57.339999999999996,56.90348484848485,1.339723237299831,0.4237288135593196,0.42824033923442867,0.0384099923737464,0.4237288135593196,0.42760790252023434,0.03356910845197431,5.953636363636286,5.884682148057879,0.2702515639636346
C,18,50.0,50.50879396984924,2.0179711665567384,58.58,58.227777777777774,1.2705449133196944,0.4464285714285696,0.45608989348744056,0.05974416261536026,0.4464285714285696,0.45063257892205233,0.031395876951721524,5.308695652174123,5.416118296799302,0.5066667299316606
C,19,63.75,63.36683417085427,1.554719282738651,67.31,67.30984848484849,1.300581079533038,0.4716981132075462,0.47579821499480673,0.03368088623671666,0.4716981132075462,0.4758990051899366,0.03375194585304951,4.902500000000115,4.940122857707496,0.24643321455671974
C,20,80.0,80.69723618090453,1.91577183314301,84.76,85.32282828282828,1.654583260920357,0.5,0.4965061409179056,0.006353525278069995,0.5,0.5004382522239665,0.04016248962079758,4.625000000000099,4.647468652173913,0.11065587795158303
C,21,92.5,92.10427135678393,1.6785919865490648,90.99000000000001,91.26262626262627,1.9644779913231563,0.520833333333329,0.523863104980126,0.044382132320880036,0.520833333333329,0.5236313644843281,0.04093007001254961,4.6330434782607535,4.5369239130434815,0.2222780241620711
C,22,87.5,87.17178770949721,1.8470748631783103,88.5,87.62596685082873,5.139601236045625,0.5434782608695726,0.5503237742830712,0.048283881927388375,0.5434782608695726,0.5448268654695767,0.07811106574407468,4.4399999999999995,4.432622168893908,0.24852410824360693
C,23,65.0,64.33375634517766,1.7701003377310434,68.55,68.288730964467,1.81777193561339,0.5681818181818211,0.5750224031877779,0.036263589560382246,0.5681818181818211,0.5706829927178766,0.00947167502082731,4.070000000000066,4.058238272355657,0.19022247358779984
C,24,70.0,70.46085858585859,1.6423706928068595,69.81,70.20162436548225,1.9574792205781226,0.5952380952380928,0.6017533940818116,0.05461328401949564,0.5952380952380928,0.5905580576638463,0.059279231222111484,3.371111111111102,3.3665190046734876,0.13436725662848442
C,25,110.0,106.97660098522168,13.025883667536611,92.22999999999999,91.95984771573605,2.7895640938745316,0.6249999999999911,0.6842225130514273,0.37517092685633074,0.6249999999999911,0.6235829626357133,0.04362170894002305,3.769675324675357,3.808190899249385,0.6740177294386719
C,26b,100.0,98.88819095477388,5.682275627491723,123.4,123.26111675126903,3.3623013212790887,0.6410256410256401,0.6579650785631754,0.09456092927330009,0.6410256410256401,0.639072213077553,0.06661463493381428,3.3299999999999397,3.306483668097321,0.26921853533941514
D,14,53.75,53.481675392670155,1.333398633240688,42.379999999999995,41.69842639593908,4.311207873376435,0.34722222222222276,0.3472663148675718,0.047319289815407076,0.34722222222222276,0.35960853569895135,0.0891968195551404,7.611428571428272,7.812826733954421,3.1669835395963215
D,15,62.5,62.36180904522613,4.594998790265786,57.34,57.210862944162436,1.4752975370943282,0.3690036900369109,0.37080368658662616,0.04643796058189122,0.3690036900369109,0.36475846651600136,0.057878090499441565,7.168192771084833,7.374764575962742,1.204791387838862
D,18,61.25,57.0148401826484,12.03075936757858,68.55000000000001,68.99272727272728,1.6085414891126018,0.4464285714285696,0.5246321600066713,0.1636341211860574,0.4464285714285696,0.4479234921158697,0.031642519650290316,5.31875000000014,4.9802764933915045,1.0979187797183236
D,20,96.25,95.63442211055276,1.9699019466736547,102.21000000000001,102.24808080808081,1.8916018923984077,0.4901960784313813,0.49784768814687697,0.03717748220885936,0.4901960784313813,0.4983714254932743,0.04033464646131053,4.826086956521358,4.7586887509881395,0.2604539621064732
D,22,105.0,105.48366834170854,3.2846900920114743,115.91999999999999,115.49863636363636,2.828470853594823,0.5434782608695642,0.5467708226265114,0.03871246374976824,0.5434782608695642,0.5478023178127245,0.050159464615736865,4.540909090909143,4.532989043478269,0.23271892310094003
D,25,126.25,126.44670050761421,2.624638318455292,107.19,107.80756345177666,4.90347993383419,0.6249999999999911,0.6261668391375468,0.08628965649326936,0.6097560975609807,0.6218211974494084,0.0465589333984173,3.4632000000000054,3.45810828061976,0.1739419056697307
E,15,75.0,74.43627450980392,7.489992196036452,67.31,67.78328282828284,2.219288958890641,0.36764705882353343,0.38874356037633173,0.08142744656074903,0.36764705882353343,0.37032616421000586,0.02291677754615468,7.082857142857373,8.202316317157859,2.437838099100125
E,18,71.25,56.57801418439716,21.91466048300104,84.76,85.4021212121212,1.9974200480062305,0.6944444444444455,0.8111102956573732,0.8347383872795434,0.4464285714285696,0.44526942355889715,0.027454060643207816,3.330000000000066,5.681403539095027,8.960806988727937
E,19,90.0,90.41457286432161,1.872073795669298,98.47,97.9539393939394,4.063602542163022,0.4716981132075462,0.4658266969940396,0.02387165188494233,0.4716981132075462,0.4691695391872279,0.03971947104511045,4.70640000000001,4.679772725906271,0.2274284816469502
E,20,112.5,112.04145728643216,2.6830420295361095,114.67,114.64181818181818,2.2558914919887263,0.49019607843137447,0.496007602330257,0.03741663997319261,0.49019607843137447,0.49609052374265356,0.03731580738388119,4.717500000000149,4.769640166007911,0.25308929903901234
E,23,100.0,99.62939698492463,7.071908978785946,107.19,107.47365482233502,3.4433659734601627,0.5681818181818211,0.584222739324088,0.10948177479070821,0.5681818181818211,0.5614323993102678,0.057649730045367324,3.756923076923189,3.7319642306445804,0.3793610291648312
