Crank position,Motor Frequency (Hz),No Bond Peak-Peak Median (mm),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Median (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Median (Hz),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Median (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
C,18,50.0,50.50879396984924,2.0179711665567384,58.58,58.227777777777774,1.2705449133196944,0.4426659111835174,0.45218364725907473,0.05953693905716321,0.4435024223425522,0.44642530649544176,0.029672498730989563,5.362054543882005,5.470445417174281,0.5065365077764331
C,19,63.75,63.36683417085427,1.554719282738651,67.31,67.30984848484849,1.300581079533038,0.4684455104182247,0.47151625603124625,0.03356450499914914,0.46860058436799673,0.4718008227421625,0.03267251397743009,4.991020290535648,4.977168431445177,0.2319808768136761
C,20,80.0,80.69723618090453,1.91577183314301,84.76,85.32282828282828,1.654583260920357,0.49168076151516266,0.4917434321597024,0.004855523046772635,0.4913811225562376,0.4948276027770542,0.037899565839148705,4.691161841884238,4.684026236901075,0.09369711892413164
C,21,92.5,92.10427135678393,1.6785919865490648,90.99000000000001,91.26262626262627,1.9644779913231563,0.513102587678979,0.5178593911819204,0.04230096207066009,0.5128468653648446,0.5168939027655098,0.04114728105711755,4.6344492856951245,4.6042752761124675,0.21766635402646178
C,22,87.5,87.17178770949721,1.8470748631783103,88.5,87.62596685082873,5.139601236045625,0.5382363072683493,0.5435025955717939,0.04541059673127454,0.5401253685488494,0.5395027180916103,0.07557072298023138,4.4899977861305365,4.477607710338102,0.23700733551322561
C,23,65.0,64.33375634517766,1.7701003377310434,68.55,68.288730964467,1.81777193561339,0.5630833543551069,0.5658815080952402,0.034887600728398416,0.5642898095899123,0.5635379833107528,0.007929240068913398,4.092523536981775,4.073491071435455,0.18259074215468143
C,24,70.0,70.46085858585859,1.6423706928068595,69.81,70.20162436548225,1.9574792205781226,0.5912961210974523,0.5959706900694829,0.050165873952075266,0.589488636363638,0.5837389129610834,0.058504315485585635,3.4220700776673785,3.41348659452473,0.13197405885438088
C,25,110.0,106.97660098522168,13.025883667536611,92.22999999999999,91.95984771573605,2.7895640938745316,0.612028381531868,0.6722379355218234,0.35242900088976215,0.6107931316435046,0.6150637791006314,0.042870056400007316,3.8198925640190833,3.850550619724178,0.667133752389117
C,26b,100.0,98.88819095477388,5.682275627491723,123.4,123.26111675126903,3.3623013212790887,0.6370011007379073,0.6501596816767078,0.09348246050037302,0.6365115176320653,0.6340282024488252,0.06594820964773732,3.347228575261025,3.335160615444048,0.2739949192160836
D,14,53.75,53.481675392670155,1.333398633240688,42.379999999999995,41.69842639593908,4.311207873376435,0.34403038476359493,0.3451403176855091,0.04589499040031332,0.34492273730684236,0.35703761326565053,0.08772205955629558,7.578150693638936,7.861964779539273,3.192585902012064
D,15,62.5,62.36180904522613,4.594998790265786,57.34,57.210862944162436,1.4752975370943282,0.36708024374127957,0.36578829807916546,0.045643536871934946,0.36728494517972254,0.35739538660840525,0.05174734193710636,7.234659277063926,7.3206492931121545,1.1537476911661808
D,18,61.25,57.0148401826484,12.03075936757858,68.55000000000001,68.99272727272728,1.6085414891126018,0.44185224460940864,0.5185129311416996,0.1585328869610473,0.4423601999929084,0.445075018066749,0.029614403152183038,5.31077984460061,5.015183315091981,1.0992689529163806
D,20,96.25,95.63442211055276,1.9699019466736547,102.21000000000001,102.24808080808081,1.8916018923984077,0.489857982300218,0.4935147551489058,0.03469318582005659,0.4890746624995327,0.49343527353008415,0.04003433857869615,4.842816572783439,4.813643290074511,0.2501175395225401
D,22,105.0,105.48366834170854,3.2846900920114743,115.91999999999999,115.49863636363636,2.828470853594823,0.5377916982171146,0.5410159415336642,0.03781477085179228,0.5384722019509078,0.5431493113037931,0.049025555622638405,4.579459823328419,4.560301290773322,0.22611598431717975
D,25,126.25,126.44670050761421,2.624638318455292,107.19,107.80756345177666,4.90347993383419,0.6201536106683461,0.62267058045124,0.08659886768003162,0.6090558107711906,0.6138355830740054,0.04550301912230638,3.52085698321265,3.5133854593839686,0.17821654166480852
E,15,75.0,74.43627450980392,7.489992196036452,67.31,67.78328282828284,2.219288958890641,0.36623954996484154,0.3860156014101145,0.08032891215579957,0.365707082551595,0.3677813094287286,0.02278868015906733,7.120196535751625,8.253268971800772,2.394106457807376
E,18,71.25,56.57801418439716,21.91466048300104,84.76,85.4021212121212,1.9974200480062305,0.6890232699837869,0.7898458563222962,0.7720396996329254,0.4393177653526225,0.4408968706752447,0.025897771670773475,3.3611633423688643,-0.6918803379814928,40.25922326127297
E,19,90.0,90.41457286432161,1.872073795669298,98.47,97.9539393939394,4.063602542163022,0.4649001469698257,0.46273375724909305,0.02350761264330813,0.46540567446490644,0.4656764611407295,0.038927336436427255,4.731190408161517,4.710041304285386,0.21178534761383394
E,20,112.5,112.04145728643216,2.6830420295361095,114.67,114.64181818181818,2.2558914919887263,0.48708889697095165,0.4905958977351661,0.036328894043055664,0.4866123035585921,0.49027192771382605,0.037711150285302544,4.8362019599295305,4.832051490715973,0.25214061724108144
E,23,100.0,99.62939698492463,7.071908978785946,107.19,107.47365482233502,3.4433659734601627,0.5611093115286285,0.5763782664473746,0.1039931800824607,0.5611476355693549,0.5552793658420305,0.05685727695720748,3.806574414359229,3.7758472968326755,0.3777257503883118
